match_id,date,kickoff_local,stage,round,group,team_a,team_b,venue,city,country,lat,lon,altitude_m
G001,2026-06-11,16:00,group,MD1,A,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,19.3,-99.15,2240
G002,2026-06-11,19:00,group,MD1,A,South Korea,Czech Republic,Estadio Akron,Guadalajara,Mexico,20.68,-103.46,1560
G003,2026-06-12,22:00,group,MD1,B,Canada,Bosnia and Herzegovina,Estadio BBVA,Monterrey,Mexico,25.67,-100.31,540
G004,2026-06-12,13:00,group,MD1,B,Qatar,Switzerland,BMO Field,Toronto,Canada,43.63,-79.42,76
G005,2026-06-13,16:00,group,MD1,C,Brazil,Morocco,BC Place,Vancouver,Canada,49.28,-123.11,0
G006,2026-06-13,19:00,group,MD1,C,Haiti,Scotland,Mercedes-Benz Stadium,Atlanta,United States,33.75,-84.4,320
G007,2026-06-14,22:00,group,MD1,D,United States,Paraguay,Gillette Stadium,Boston,United States,42.09,-71.26,90
G008,2026-06-14,13:00,group,MD1,D,Australia,Turkey,AT&T Stadium,Dallas,United States,32.75,-97.09,180
G009,2026-06-15,16:00,group,MD1,E,Germany,Curacao,NRG Stadium,Houston,United States,29.68,-95.41,15
G010,2026-06-15,19:00,group,MD1,E,Ivory Coast,Ecuador,Arrowhead Stadium,Kansas City,United States,39.05,-94.48,270
G011,2026-06-11,22:00,group,MD1,F,Netherlands,Japan,SoFi Stadium,Los Angeles,United States,33.95,-118.34,30
G012,2026-06-11,13:00,group,MD1,F,Sweden,Tunisia,Hard Rock Stadium,Miami,United States,25.96,-80.24,3
G013,2026-06-12,16:00,group,MD1,G,Belgium,Egypt,MetLife Stadium,New York,United States,40.81,-74.07,5
G014,2026-06-12,19:00,group,MD1,G,Iran,New Zealand,Lincoln Financial Field,Philadelphia,United States,39.9,-75.17,12
G015,2026-06-13,22:00,group,MD1,H,Spain,Cape Verde,Levi's Stadium,San Francisco,United States,37.4,-121.97,9
G016,2026-06-13,13:00,group,MD1,H,Saudi Arabia,Uruguay,Lumen Field,Seattle,United States,47.6,-122.33,15
G017,2026-06-14,16:00,group,MD1,I,France,Senegal,Estadio Azteca,Mexico City,Mexico,19.3,-99.15,2240
G018,2026-06-14,19:00,group,MD1,I,Iraq,Norway,Estadio Akron,Guadalajara,Mexico,20.68,-103.46,1560
G019,2026-06-15,22:00,group,MD1,J,Argentina,Algeria,Estadio BBVA,Monterrey,Mexico,25.67,-100.31,540
G020,2026-06-15,13:00,group,MD1,J,Austria,Jordan,BMO Field,Toronto,Canada,43.63,-79.42,76
G021,2026-06-11,16:00,group,MD1,K,Portugal,DR Congo,BC Place,Vancouver,Canada,49.28,-123.11,0
G022,2026-06-11,19:00,group,MD1,K,Uzbekistan,Colombia,Mercedes-Benz Stadium,Atlanta,United States,33.75,-84.4,320
G023,2026-06-12,22:00,group,MD1,L,England,Croatia,Gillette Stadium,Boston,United States,42.09,-71.26,90
G024,2026-06-12,13:00,group,MD1,L,Ghana,Panama,AT&T Stadium,Dallas,United States,32.75,-97.09,180
G025,2026-06-16,16:00,group,MD2,A,Mexico,South Korea,NRG Stadium,Houston,United States,29.68,-95.41,15
G026,2026-06-16,19:00,group,MD2,A,Czech Republic,South Africa,Arrowhead Stadium,Kansas City,United States,39.05,-94.48,270
G027,2026-06-17,22:00,group,MD2,B,Canada,Qatar,SoFi Stadium,Los Angeles,United States,33.95,-118.34,30
G028,2026-06-17,13:00,group,MD2,B,Switzerland,Bosnia and Herzegovina,Hard Rock Stadium,Miami,United States,25.96,-80.24,3
G029,2026-06-18,16:00,group,MD2,C,Brazil,Haiti,MetLife Stadium,New York,United States,40.81,-74.07,5
G030,2026-06-18,19:00,group,MD2,C,Scotland,Morocco,Lincoln Financial Field,Philadelphia,United States,39.9,-75.17,12
G031,2026-06-19,22:00,group,MD2,D,United States,Australia,Levi's Stadium,San Francisco,United States,37.4,-121.97,9
G032,2026-06-19,13:00,group,MD2,D,Turkey,Paraguay,Lumen Field,Seattle,United States,47.6,-122.33,15
G033,2026-06-20,16:00,group,MD2,E,Germany,Ivory Coast,Estadio Azteca,Mexico City,Mexico,19.3,-99.15,2240
G034,2026-06-20,19:00,group,MD2,E,Ecuador,Curacao,Estadio Akron,Guadalajara,Mexico,20.68,-103.46,1560
G035,2026-06-16,22:00,group,MD2,F,Netherlands,Sweden,Estadio BBVA,Monterrey,Mexico,25.67,-100.31,540
G036,2026-06-16,13:00,group,MD2,F,Tunisia,Japan,BMO Field,Toronto,Canada,43.63,-79.42,76
G037,2026-06-17,16:00,group,MD2,G,Belgium,Iran,BC Place,Vancouver,Canada,49.28,-123.11,0
